Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
7005,EB Yellowhead Trail @ Anthony Henday Dr,100,"(a), (b), (c)",53.57357317,-113.66018743,"(53.5735731656759, -113.66018742546709)"
2744,WB 127 Ave between 88 - 90 St,60,(h),53.58479866,-113.47792261,"(53.58479866274416, -113.47792260832502)"
2291,NB 100 St btwn 161 - 165 Ave,50,(h),53.62500227,-113.49669489,"(53.625002273374996, -113.49669488555467)"
2638,NB 50 St between 84 - 90 Ave,60,(h),53.52071876,-113.41843275,"(53.52071875780503, -113.41843275110577)"
2627,SB 189 St between Callingwood Rd - 59 Ave,50,(h),53.49413379,-113.65135029,"(53.494133793740524, -113.65135028704648)"
2722,SB 101 St between 108 - 107A Ave,50,(h),53.55228268,-113.49371677,"(53.552282684355454, -113.49371676559429)"
7082,WB Anthony Henday Dr at 97 St,100,"(a), (b), (c)",53.64716486,-113.48933364,"(53.64716486378753, -113.4893336448136)"
2506,EB 118 Ave between 56 - 54 St,50,"(a), (h)",53.57036075,-113.42612185,"(53.57036074808705, -113.42612184514128)"
2792,WB Stony Plain Rd Between 180 - 182 St,60,(c),53.54136793,-113.63454323,"(53.541367928845716, -113.63454323274686)"
2734,EB 137 Ave between 63 - 61 St,60,(h),53.59947642,-113.43701255,"(53.59947641957803, -113.43701254981437)"
2632,EB 106 Ave between Fulton Dr - 65 St,50,(h),53.54925764,-113.43199190,"(53.549257641684676, -113.43199190399541)"
2528,EB 51 Ave between 122 - 116 St,50,(h),53.48823317,-113.53622219,"(53.488233168359486, -113.53622219056896)"
2499,NB 184 St between 57 Ave - Callingwood Rd,50,(h),53.49358966,-113.64016593,"(53.49358965611004, -113.64016593233863)"
2469,EB 132 Ave between 123 - 121 St,50,"(b), (h)",53.59216642,-113.53195635,"(53.59216641826184, -113.53195634956019)"
7166,SB 91 St between 23 Ave - Anthony Henday Dr,70,"(b), (c)",53.44594757,-113.46681048,"(53.445947572020934, -113.4668104755267)"
2690,WB 90 Ave between 68 - 71 St,60,(h),53.52527888,-113.43415888,"(53.52527888259998, -113.43415887698822)"
2692,EB 90 Ave between 73 - 71 St,60,(h),53.52518787,-113.43834454,"(53.52518787048792, -113.43834453770761)"
2789,NB 84 St between 102 - 105 Ave,50,"(a), (h)",53.54553273,-113.45713558,"(53.54553273350167, -113.45713557534033)"
2629,EB 145 Ave between 117 - 114A St,50,(h),53.60724643,-113.52112318,"(53.607246425691265, -113.52112317618949)"
2507,WB 118 Ave between 60 - 62 St,50,"(a), (h)",53.57036818,-113.43491676,"(53.57036818443928, -113.43491675711711)"
2669,NB 127 St between 135 - 137 Ave,50,(b),53.59797756,-113.54117476,"(53.59797755575344, -113.54117475648204)"
2723,NB 95 St between 112 - 114 Ave,50,(h),53.56265622,-113.48715003,"(53.562656221220564, -113.48715002601968)"
2702,EB 114 Ave between 48 - 46 St,50,(h),53.56678765,-113.41376987,"(53.5667876476314, -113.4137698696166)"
2553,NB 106 St between 45 - 48 Ave,50,(c),53.48476108,-113.50427766,"(53.48476108360112, -113.5042776612978)"
2671,SB 163 St between 93 - 92 Ave,50,"(b), (f), (h)",53.52753902,-113.60274611,"(53.527539024108236, -113.60274610892697)"
247,WB Yellowhead Trail at 50 St,80,(c),53.58248862,-113.41881805,"(53.58248862054616, -113.41881805390678)"
2544,NB 101 St between 115 - 117 Ave,50,(b),53.56729845,-113.49371470,"(53.567298446460306, -113.49371469993817)"
2787,EB 132 Ave between 66 St - Fort Rd,50,"(a), (h)",53.59224906,-113.43708653,"(53.592249056423725, -113.43708652543764)"
7066,SB Wayne Gretzky Dr btw Ada Blvd-Capilano Bridge,80,(a),53.55865978,-113.44107207,"(53.558659779257994, -113.44107207180616)"
2721,NB 101 St between 107A - 108 Ave,50,(h),53.55228268,-113.49371677,"(53.552282684355454, -113.49371676559429)"
2687,SB Towne Ctr Blvd btwn Tomlinson Way-Tompkins Wynd,50,(h),53.45219130,-113.58050094,"(53.452191296999644, -113.58050093978656)"
2561,NB 105 St between 97 - 98 Ave,50,(h),53.53485274,-113.50109144,"(53.53485274399985, -113.50109144342659)"
2563,WB 39 Ave between 93 - 97 St,50,"(b), (c)",53.47411071,-113.47638952,"(53.4741107063277, -113.47638952136572)"
2615,NB 113A St between 134 - 136 Ave,50,(h),53.59665638,-113.51656063,"(53.59665638169049, -113.51656063070774)"
2650,EB 176 Ave between 100 - 97 St,50,(h),53.63867119,-113.49583402,"(53.63867119341405, -113.49583401854203)"
2737,WB 106 Ave between 65 - 67 St,50,(h),53.54933532,-113.43199224,"(53.54933532200025, -113.43199223650173)"
2462,WB 87 Ave between 150 - 152 St,60,(c),53.51948750,-113.58110205,"(53.51948749711371, -113.58110204742488)"
2790,SB 84 St between 105 - 102 Ave,50,"(a), (h)",53.54553273,-113.45713558,"(53.54553273350167, -113.45713557534033)"
2705,SB 97 St between 167 - 153 Ave,70,(b),53.62164365,-113.49201643,"(53.62164365069956, -113.49201643000688)"
2554,WB Millwoods Rd S between 69 St - Knottwood Rd E,50,(h),53.44587661,-113.44122934,"(53.44587661154958, -113.441229339086)"
2473,EB 132 Ave between Delwood Rd - 79 St,50,"(a), (h)",53.59223322,-113.46280031,"(53.59223321810083, -113.46280030604021)"
7117,NB 170 St between 109 - 110 Ave,60,"(b), (c)",53.55689727,-113.61519067,"(53.55689726799364, -113.61519066743405)"
2739,NB 66 St between 132 - 134 Ave.,50,(h),53.59383320,-113.44285006,"(53.59383320324485, -113.44285005985127)"
2689,EB 90 Ave between 58 - 57 St,60,(h),53.52336651,-113.42392515,"(53.52336651068132, -113.42392515286636)"
2628,WB 145 Ave between 114A - 117 St,50,(h),53.60724643,-113.52112318,"(53.607246425691265, -113.52112317618949)"
7081,EB Anthony Henday Dr at 97 St,100,"(a), (b), (c)",53.64668383,-113.48927634,"(53.64668382716076, -113.48927634261672)"
387,SB 104 St Between Univ. Ave. - 73 Ave.,50,"(f), (h)",53.51047043,-113.49767867,"(53.510470430849715, -113.49767866621947)"
2766,SB Fort Rd between 131 - 128 Ave,50,"(c), (h)",53.58818774,-113.43641161,"(53.58818773695967, -113.43641161291976)"
2645,SB 142 St between 96 - 95 Ave,60,(h),53.53257774,-113.56556903,"(53.53257773949817, -113.56556902926202)"
2610,NB 75 St between 92A - 94B Ave,60,(b),53.53004509,-113.44289010,"(53.53004508591621, -113.44289009860144)"
2511,WB 142 Ave between 122 - 127 St,50,(h),53.60418437,-113.53633364,"(53.6041843654235, -113.53633363870644)"
2452,EB 144 Avenue between 79 - 77 Street,50,(h),53.60684951,-113.46181682,"(53.60684951102464, -113.46181682352339)"
2719,WB 107 Ave between 110 - 113 St,50,(h),53.55140855,-113.51302475,"(53.55140855278234, -113.51302475188886)"
2688,WB 90 Ave between 57 - 58 St,60,(h),53.52345407,-113.42384877,"(53.523454072678604, -113.42384876547351)"
2557,SB 122 St between 53 - 51 Ave,60,(c),53.48966315,-113.54122495,"(53.489663154923655, -113.54122494612001)"
7017,SB Anthony Henday Dr. @ Yellowhead Tr.,100,"(a), (b), (c)",53.57298521,-113.66198874,"(53.5729852141935, -113.66198873657481)"
2655,EB 95 Ave between 154 - 152 St,50,"(f), (h)",53.53153385,-113.58505458,"(53.53153385142836, -113.58505457620178)"
2711,NB 79 St between 103 - 105 Ave,50,(h),53.54633354,-113.44929002,"(53.54633354164507, -113.44929002424692)"
7132,EB Anthony Henday Dr at 50 St,100,(a),53.43541584,-113.41695488,"(53.43541583706643, -113.41695487512234)"
2728,WB 111 Ave between 116 - 119 St,60,(b),53.55894082,-113.52415980,"(53.55894082059738, -113.52415980143171)"
7021,SB Anth. Henday Dr. -South of North Sask. River,100,(a),53.45663746,-113.61099305,"(53.45663745650378, -113.61099305225555)"
2729,EB Princess Elizabeth Ave between 106 - 102 St,50,(c),53.56806178,-113.49916298,"(53.56806178253305, -113.49916297990252)"
2782,EB 87 Ave between 120 - 117 St,50,(b),53.52295597,-113.53541744,"(53.52295597217655, -113.53541743778709)"
2497,NB 184 St between Lessard Rd - 52 Ave,50,(h),53.48611269,-113.64498768,"(53.48611268512371, -113.64498768000854)"
7177,WB 106 Ave between Rowland Rd - 76 St,50,(h),53.54938881,-113.44241280,"(53.54938881273492, -113.4424127998047)"
2569,NB 156 St between 92 - 94 Ave,50,"(a), (h)",53.52837963,-113.59032512,"(53.52837963329957, -113.5903251192683)"
2768,WB Buena Vista Rd between 138 - 142 St,50,(h),53.51939604,-113.56257128,"(53.519396036768505, -113.56257127611673)"
2154,NB Ottewell Rd between 92A - 93A Ave,40,(h),53.52909747,-113.43346678,"(53.529097471026205, -113.43346678391474)"
2720,EB 107 Ave between 113 - 110 St,50,(h),53.55140855,-113.51302475,"(53.55140855278234, -113.51302475188886)"
2552,SB 106 St between 48 - 45 Ave,50,(c),53.48475897,-113.50440690,"(53.4847589744677, -113.50440690174523)"
7167,NB 91 St between Anthony Henday Dr - 23 Ave,70,"(b), (c)",53.44580735,-113.46635873,"(53.445807349619315, -113.46635873271116)"
2748,SB 50 St between 124 - 122 Ave,50,(h),53.57833203,-113.41837579,"(53.578332030686326, -113.4183757852499)"
7084,SB 40 St between 137 - 132 Ave,50,(h),53.59520439,-113.40245086,"(53.5952043943003, -113.40245085773122)"
7133,WB Anthony Henday Dr at 50 St,100,(a),53.43576282,-113.41950496,"(53.4357628179748, -113.419504962262)"
2463,EB 87 Ave between 154 - 152 St,60,(c),53.51941087,-113.58466322,"(53.51941087115628, -113.58466321841144)"
2703,WB 114 Ave between 46 - 48 St,50,(h),53.56678765,-113.41376987,"(53.5667876476314, -113.4137698696166)"
2504,EB 82 Ave between 98 - 97 St,50,(h),53.51798620,-113.48126114,"(53.51798620158131, -113.48126113525402)"
